set_code,set_name_en,edition,psa_total,psa10_rate_pct,psa_weekly_add,psa_total_as_of,psa_weekly_add_as_of,cgc_total,cgc_total_as_of,cgc_pristine10,cgc_gem_mint10,cgc_grade_split_as_of,tag_total,tag_total_as_of,tag_10,tag_10p,tag_grade_split_as_of
OP-17,The World's Strongest Warriors,japanese,,,,,,9,2026-09-11,,,,,,,,
OP-17,The World's Strongest Warriors,english,,,,,,6,2026-09-11,,,,,,,,
EB-01,Memorial Collection,japanese,12911,92.8,136,2026-09-13,2026-09-09,1578,2026-09-11,647,434,2026-08-03,212,2026-09-14,136,1,2026-08-03
EB-01,Memorial Collection,english,7699,89.3,43,2026-09-13,2026-09-13,872,2026-09-11,358,327,2026-08-03,168,2026-09-14,120,2,2026-08-03
EB-02,Anime 25th Collection,japanese,12687,88.3,551,2026-09-13,2026-09-09,3162,2026-09-11,1297,810,2026-08-03,478,2026-09-14,288,6,2026-08-03
EB-02,Anime 25th Collection,english,12579,86.3,183,2026-09-13,2026-09-13,888,2026-09-11,369,241,2026-08-03,285,2026-09-14,199,4,2026-08-03
EB-03,Heroine's Edition,japanese,24267,86.7,751,2026-09-13,2026-09-09,4852,2026-09-11,1891,1320,2026-08-03,829,2026-09-14,548,6,2026-08-03
EB-03,Heroine's Edition,english,19713,87.7,855,2026-09-13,2026-09-13,1762,2026-09-11,693,355,2026-08-03,872,2026-09-14,528,19,2026-08-03
PRB-01,Premium Booster,japanese,47850,86.9,833,2026-09-13,2026-09-09,20549,2026-09-11,7932,6615,2026-08-03,866,2026-09-14,446,5,2026-08-03
PRB-01,Premium Booster,english,27508,86.7,219,2026-09-13,2026-09-13,3320,2026-09-11,1375,1059,2026-08-03,653,2026-09-14,455,22,2026-08-03
PRB-02,Premium Booster,japanese,22407,87.8,534,2026-09-13,2026-09-09,5647,2026-09-11,2277,1350,2026-08-03,32,2026-09-14,19,0,2026-08-03
PRB-02,Premium Booster,english,32666,85.2,505,2026-09-13,2026-09-13,4290,2026-09-11,1760,1003,2026-08-03,570,2026-09-14,399,29,2026-08-03
